Area Code,State,Market,Market Size,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,ProductId,Date,Product Type,Product,Type
203,Connecticut,East,Small Market,107,176,292,116,69,38,962,2,4/1/2010 0:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,75,135,225,90,60,29,1148,2,7/1/2010 0:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,122,195,325,130,73,42,1134,2,11/1/2010 0:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,105,174,289,115,69,37,1166,2,12/1/2010 0:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,104,135,223,90,56,29,1148,2,7/1/2011 0:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,104,135,223,90,56,29,1139,2,8/1/2011 0:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,135,155,275,103,64,33,1130,2,9/1/2011 0:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,171,188,334,125,73,41,1119,2,10/1/2011 0:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,181,195,346,130,73,42,1134,2,11/1/2011 0:00,Coffee,Columbian,Regular
203,Connecticut,East,Small Market,15,31,51,20,16,5,804,13,6/1/2010 0:00,Tea,Green Tea,Regular
203,Connecticut,East,Small Market,33,54,90,36,21,10,809,13,11/1/2010 0:00,Tea,Green Tea,Regular
203,Connecticut,East,Small Market,17,28,47,19,15,5,811,13,8/1/2011 0:00,Tea,Green Tea,Regular
203,Connecticut,East,Small Market,27,36,64,24,18,6,806,13,10/1/2011 0:00,Tea,Green Tea,Regular
203,Connecticut,East,Small Market,49,54,96,36,21,10,809,13,11/1/2011 0:00,Tea,Green Tea,Regular
203,Connecticut,East,Small Market,-2,75,128,53,77,48,597,5,6/1/2010 0:00,Espresso,Caffe Mocha,Regular
203,Connecticut,East,Small Market,1,84,144,60,83,54,606,5,10/1/2010 0:00,Espresso,Caffe Mocha,Regular
203,Connecticut,East,Small Market,2,86,147,61,84,55,613,5,11/1/2010 0:00,Espresso,Caffe Mocha,Regular
203,Connecticut,East,Small Market,11,105,201,75,103,68,522,5,1/1/2011 0:00,Espresso,Caffe Mocha,Regular
203,Connecticut,East,Small Market,4,90,165,65,87,58,513,5,2/1/2011 0:00,Espresso,Caffe Mocha,Regular
203,Connecticut,East,Small Market,0,87,160,63,87,57,506,5,3/1/2011 0:00,Espresso,Caffe Mocha,Regular
203,Connecticut,East,Small Market,0,87,160,63,87,57,521,5,4/1/2011 0:00,Espresso,Caffe Mocha,Regular
203,Connecticut,East,Small Market,4,90,153,64,81,58,551,5,5/1/2011 0:00,Espresso,Caffe Mocha,Regular
203,Connecticut,East,Small Market,3,87,159,62,85,56,612,5,9/1/2011 0:00,Espresso,Caffe Mocha,Regular
203,Connecticut,East,Small Market,-3,76,140,55,78,49,627,5,12/1/2011 0:00,Espresso,Caffe Mocha,Regular
203,Connecticut,East,Small Market,29,75,130,55,46,18,305,6,2/1/2010 0:00,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,22,65,113,48,43,15,334,6,5/1/2010 0:00,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,16,57,100,43,41,14,388,6,7/1/2010 0:00,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,16,56,98,42,40,13,384,6,8/1/2010 0:00,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,47,75,145,55,47,18,312,6,1/1/2011 0:00,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,39,71,132,53,45,17,299,6,3/1/2011 0:00,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,22,56,97,42,37,13,384,6,8/1/2011 0:00,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,31,64,118,47,43,15,375,6,10/1/2011 0:00,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,39,71,132,53,45,17,380,6,11/1/2011 0:00,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,31,65,121,49,44,16,392,6,12/1/2011 0:00,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,39,104,189,85,65,32,476,9,3/1/2010 0:00,Herbal Tea,Lemon,Decaf
203,Connecticut,East,Small Market,32,93,169,76,61,28,580,9,6/1/2010 0:00,Herbal Tea,Lemon,Decaf
203,Connecticut,East,Small Market,50,98,190,80,64,30,494,9,4/1/2011 0:00,Herbal Tea,Lemon,Decaf
203,Connecticut,East,Small Market,36,83,160,67,59,25,599,9,9/1/2011 0:00,Herbal Tea,Lemon,Decaf
203,Connecticut,East,Small Market,50,98,189,79,64,30,593,9,10/1/2011 0:00,Herbal Tea,Lemon,Decaf
203,Connecticut,East,Small Market,46,89,163,74,43,22,949,10,3/1/2010 0:00,Herbal Tea,Mint,Decaf
203,Connecticut,East,Small Market,68,90,176,75,44,23,956,10,2/1/2011 0:00,Herbal Tea,Mint,Decaf
203,Connecticut,East,Small Market,52,80,147,68,39,21,998,10,5/1/2011 0:00,Herbal Tea,Mint,Decaf
203,Connecticut,East,Small Market,49,74,145,62,41,19,1059,10,9/1/2011 0:00,Herbal Tea,Mint,Decaf
203,Connecticut,East,Small Market,52,77,151,65,42,20,1053,10,10/1/2011 0:00,Herbal Tea,Mint,Decaf
203,Connecticut,East,Small Market,53,76,148,63,40,19,1075,10,12/1/2011 0:00,Herbal Tea,Mint,Decaf
203,Connecticut,East,Small Market,43,68,115,47,25,13,821,11,4/1/2010 0:00,Tea,Darjeeling,Regular
203,Connecticut,East,Small Market,32,52,87,35,20,9,894,11,7/1/2010 0:00,Tea,Darjeeling,Regular
203,Connecticut,East,Small Market,28,49,83,34,21,9,890,11,8/1/2010 0:00,Tea,Darjeeling,Regular
203,Connecticut,East,Small Market,41,64,108,44,23,12,886,11,9/1/2010 0:00,Tea,Darjeeling,Regular
203,Connecticut,East,Small Market,46,55,91,37,20,10,876,11,6/1/2011 0:00,Tea,Darjeeling,Regular
206,Washington,West,Small Market,38,77,130,53,39,16,338,2,1/1/2010 0:00,Coffee,Columbian,Regular
206,Washington,West,Small Market,48,89,150,61,41,19,325,2,3/1/2010 0:00,Coffee,Columbian,Regular
206,Washington,West,Small Market,56,99,167,68,43,21,438,2,10/1/2010 0:00,Coffee,Columbian,Regular
206,Washington,West,Small Market,59,77,145,53,41,16,338,2,1/1/2011 0:00,Coffee,Columbian,Regular
206,Washington,West,Small Market,80,100,180,69,46,22,340,2,4/1/2011 0:00,Coffee,Columbian,Regular
206,Washington,West,Small Market,91,114,191,79,45,25,425,2,6/1/2011 0:00,Coffee,Columbian,Regular
206,Washington,West,Small Market,15,128,220,92,113,83,541,3,2/1/2010 0:00,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,16,132,227,95,116,86,532,3,3/1/2010 0:00,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,17,132,227,95,115,86,554,3,4/1/2010 0:00,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,24,154,264,110,130,100,665,3,6/1/2010 0:00,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,34,184,317,133,150,120,705,3,8/1/2010 0:00,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,24,132,242,95,116,86,532,3,3/1/2011 0:00,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,33,154,262,110,121,100,665,3,6/1/2011 0:00,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,43,173,294,124,132,112,717,3,7/1/2011 0:00,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,24,130,238,93,114,84,692,3,9/1/2011 0:00,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,25,134,245,96,117,87,683,3,10/1/2011 0:00,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,30,145,266,105,125,95,716,3,12/1/2011 0:00,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,0,87,150,63,87,57,506,13,3/1/2010 0:00,Tea,Green Tea,Regular
206,Washington,West,Small Market,-8,61,105,44,69,39,617,13,8/1/2010 0:00,Tea,Green Tea,Regular
206,Washington,West,Small Market,0,84,144,60,84,54,606,13,10/1/2010 0:00,Tea,Green Tea,Regular
206,Washington,West,Small Market,1,86,147,61,85,55,613,13,11/1/2010 0:00,Tea,Green Tea,Regular
206,Washington,West,Small Market,0,87,160,63,87,57,521,13,4/1/2011 0:00,Tea,Green Tea,Regular
206,Washington,West,Small Market,3,90,153,64,82,58,551,13,5/1/2011 0:00,Tea,Green Tea,Regular
206,Washington,West,Small Market,3,87,159,62,85,56,612,13,9/1/2011 0:00,Tea,Green Tea,Regular
206,Washington,West,Small Market,0,84,153,60,84,54,606,13,10/1/2011 0:00,Tea,Green Tea,Regular
206,Washington,West,Small Market,16,72,130,58,56,22,338,5,5/1/2010 0:00,Espresso,Caffe Mocha,Regular
206,Washington,West,Small Market,18,74,133,59,56,22,403,5,7/1/2010 0:00,Espresso,Caffe Mocha,Regular
206,Washington,West,Small Market,20,66,134,54,56,20,312,5,1/1/2011 0:00,Espresso,Caffe Mocha,Regular
206,Washington,West,Small Market,18,65,126,53,53,20,306,5,2/1/2011 0:00,Espresso,Caffe Mocha,Regular
206,Washington,West,Small Market,22,70,135,57,55,21,313,5,4/1/2011 0:00,Espresso,Caffe Mocha,Regular
206,Washington,West,Small Market,19,67,129,54,54,20,391,5,11/1/2011 0:00,Espresso,Caffe Mocha,Regular
206,Washington,West,Small Market,39,81,150,69,42,21,965,6,1/1/2010 0:00,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,39,82,151,69,43,21,965,6,4/1/2010 0:00,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,47,92,170,78,45,24,995,6,5/1/2010 0:00,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,71,123,226,103,52,31,1073,6,8/1/2010 0:00,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,53,99,182,83,46,25,1063,6,9/1/2010 0:00,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,45,89,164,75,44,23,1063,6,11/1/2010 0:00,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,59,84,165,71,44,22,950,6,3/1/2011 0:00,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,58,82,161,69,43,21,965,6,4/1/2011 0:00,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,65,92,168,78,42,24,995,6,5/1/2011 0:00,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,79,99,194,83,46,25,1063,6,9/1/2011 0:00,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,115,186,310,124,71,40,961,8,1/1/2010 0:00,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,121,195,325,130,74,42,945,8,2/1/2010 0:00,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,115,186,309,123,71,40,932,8,3/1/2010 0:00,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,98,165,275,110,67,36,1020,8,5/1/2010 0:00,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,79,140,232,92,61,30,1102,8,6/1/2010 0:00,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,115,188,313,125,73,41,1119,8,10/1/2010 0:00,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,122,195,325,130,73,42,1134,8,11/1/2010 0:00,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,180,195,346,130,74,42,945,8,2/1/2011 0:00,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,157,176,311,116,70,38,962,8,4/1/2011 0:00,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,181,195,346,130,73,42,1134,8,11/1/2011 0:00,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,36,59,99,40,23,11,793,9,5/1/2010 0:00,Herbal Tea,Lemon,Decaf
206,Washington,West,Small Market,50,59,98,40,21,11,793,9,5/1/2011 0:00,Herbal Tea,Lemon,Decaf
206,Washington,West,Small Market,62,105,167,62,43,19,346,11,3/1/2010 0:00,Tea,Darjeeling,Regular
206,Washington,West,Small Market,57,99,159,60,42,18,329,11,10/1/2010 0:00,Tea,Darjeeling,Regular
206,Washington,West,Small Market,98,109,185,65,43,20,372,11,2/1/2011 0:00,Tea,Darjeeling,Regular
206,Washington,West,Small Market,57,78,124,47,34,14,371,11,6/1/2011 0:00,Tea,Darjeeling,Regular
206,Washington,West,Small Market,80,94,161,57,40,17,349,11,9/1/2011 0:00,Tea,Darjeeling,Regular
206,Washington,West,Small Market,41,81,137,56,40,17,382,12,2/1/2010 0:00,Tea,Earl Grey,Regular
206,Washington,West,Small Market,24,59,99,40,35,12,443,12,6/1/2010 0:00,Tea,Earl Grey,Regular
206,Washington,West,Small Market,20,54,90,36,34,11,458,12,8/1/2010 0:00,Tea,Earl Grey,Regular
206,Washington,West,Small Market,34,71,120,49,37,15,454,12,11/1/2010 0:00,Tea,Earl Grey,Regular
206,Washington,West,Small Market,75,89,168,61,43,19,390,12,1/1/2011 0:00,Tea,Earl Grey,Regular
206,Washington,West,Small Market,56,77,137,52,39,16,376,12,3/1/2011 0:00,Tea,Earl Grey,Regular
206,Washington,West,Small Market,45,68,121,46,38,14,388,12,4/1/2011 0:00,Tea,Earl Grey,Regular
206,Washington,West,Small Market,33,59,98,40,33,12,443,12,6/1/2011 0:00,Tea,Earl Grey,Regular
206,Washington,West,Small Market,28,54,89,36,32,11,458,12,8/1/2011 0:00,Tea,Earl Grey,Regular
206,Washington,West,Small Market,50,71,128,49,37,15,454,12,11/1/2011 0:00,Tea,Earl Grey,Regular
206,Washington,West,Small Market,32,58,103,45,26,14,605,4,4/1/2010 0:00,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,34,62,110,48,28,15,599,4,5/1/2010 0:00,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,34,62,110,48,28,15,593,4,6/1/2010 0:00,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,36,65,115,50,29,16,587,4,7/1/2010 0:00,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,17,39,69,30,22,9,581,4,8/1/2010 0:00,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,21,43,76,33,22,10,577,4,9/1/2010 0:00,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,10,29,51,22,19,7,573,4,10/1/2010 0:00,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,55,62,123,48,28,15,623,4,1/1/2011 0:00,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,47,62,109,48,26,15,599,4,5/1/2011 0:00,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,50,65,114,50,27,16,587,4,7/1/2011 0:00,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,15,29,54,22,19,7,573,4,10/1/2011 0:00,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,19,32,60,24,19,7,567,4,12/1/2011 0:00,Espresso,Caffe Latte,Regular
209,California,West,Major Market,-84,-21,106,127,63,40,1215,1,5/1/2010 0:00,Coffee,Amaretto,Regular
209,California,West,Major Market,-138,-67,87,154,71,49,1832,1,7/1/2010 0:00,Coffee,Amaretto,Regular
209,California,West,Major Market,-3,50,162,95,55,30,608,1,1/1/2011 0:00,Coffee,Amaretto,Regular
209,California,West,Major Market,-131,-25,109,127,63,40,2947,1,12/1/2011 0:00,Coffee,Amaretto,Regular
209,California,West,Major Market,276,428,712,284,152,99,2108,2,4/1/2010 0:00,Coffee,Columbian,Regular
209,California,West,Major Market,410,428,759,284,152,99,2108,2,4/1/2011 0:00,Coffee,Columbian,Regular
209,California,West,Major Market,88,114,201,75,55,24,659,13,11/1/2011 0:00,Tea,Green Tea,Regular
209,California,West,Major Market,25,168,289,121,143,109,788,5,5/1/2010 0:00,Espresso,Caffe Mocha,Regular
209,California,West,Major Market,216,329,576,247,113,81,1744,6,12/1/2010 0:00,Espresso,Decaf Espresso,Decaf
209,California,West,Major Market,321,329,614,247,113,81,1744,6,12/1/2011 0:00,Espresso,Decaf Espresso,Decaf
209,California,West,Major Market,148,137,247,95,37,26,809,8,2/1/2011 0:00,Herbal Tea,Chamomile,Decaf
209,California,West,Major Market,196,295,546,251,99,77,1268,9,9/1/2010 0:00,Herbal Tea,Lemon,Decaf
209,California,West,Major Market,291,295,582,251,99,77,1268,9,9/1/2011 0:00,Herbal Tea,Lemon,Decaf
209,California,West,Major Market,26,51,90,39,25,12,541,10,10/1/2010 0:00,Herbal Tea,Mint,Decaf
209,California,West,Major Market,120,163,276,113,43,31,897,11,6/1/2010 0:00,Tea,Darjeeling,Regular
209,California,West,Major Market,79,111,187,76,32,21,580,12,10/1/2010 0:00,Tea,Earl Grey,Regular
210,Texas,South,Major Market,192,288,532,244,96,75,1213,2,6/1/2010 0:00,Coffee,Columbian,Regular
210,Texas,South,Major Market,112,152,256,104,40,29,952,5,7/1/2010 0:00,Espresso,Caffe Mocha,Regular
210,Texas,South,Major Market,133,179,302,123,46,34,915,5,10/1/2010 0:00,Espresso,Caffe Mocha,Regular
210,Texas,South,Major Market,184,178,298,123,42,34,941,5,8/1/2011 0:00,Espresso,Caffe Mocha,Regular
210,Texas,South,Major Market,48,73,123,50,25,14,589,6,11/1/2010 0:00,Espresso,Decaf Espresso,Decaf
210,Texas,South,Major Market,26,51,84,34,30,10,428,9,8/1/2011 0:00,Herbal Tea,Lemon,Decaf
212,New York,East,Major Market,83,117,198,81,34,22,460,13,4/1/2010 0:00,Tea,Green Tea,Regular
212,New York,East,Major Market,84,80,150,54,27,15,456,13,1/1/2011 0:00,Tea,Green Tea,Regular
212,New York,East,Major Market,123,124,208,86,33,24,499,13,5/1/2011 0:00,Tea,Green Tea,Regular
212,New York,East,Major Market,-224,-69,66,135,155,122,3641,5,12/1/2010 0:00,Espresso,Caffe Mocha,Regular
212,New York,East,Major Market,-304,-59,70,125,146,113,1382,5,4/1/2011 0:00,Espresso,Caffe Mocha,Regular
212,New York,East,Major Market,-392,-95,77,173,176,156,2615,5,8/1/2011 0:00,Espresso,Caffe Mocha,Regular
212,New York,East,Major Market,316,369,647,284,130,107,1565,9,8/1/2011 0:00,Herbal Tea,Lemon,Decaf
212,New York,East,Major Market,-238,-139,112,251,99,77,3948,10,9/1/2010 0:00,Herbal Tea,Mint,Decaf
212,New York,East,Major Market,138,185,312,127,47,35,1007,11,7/1/2010 0:00,Tea,Darjeeling,Regular
212,New York,East,Major Market,190,185,309,127,44,35,1007,11,7/1/2011 0:00,Tea,Darjeeling,Regular
212,New York,East,Major Market,187,283,543,260,96,72,1271,7,5/1/2010 0:00,Espresso,Regular Espresso,Regular
212,New York,East,Major Market,646,526,815,239,91,66,1197,7,10/1/2011 0:00,Espresso,Regular Espresso,Regular
213,California,West,Major Market,364,387,687,258,142,90,2067,2,2/1/2011 0:00,Coffee,Columbian,Regular
213,California,West,Major Market,508,546,902,364,166,127,2617,2,8/1/2011 0:00,Coffee,Columbian,Regular
213,California,West,Major Market,349,374,664,249,139,87,2580,2,11/1/2011 0:00,Coffee,Columbian,Regular
213,California,West,Major Market,47,101,168,67,54,22,677,13,12/1/2010 0:00,Tea,Green Tea,Regular
213,California,West,Major Market,203,312,546,234,109,77,1310,6,1/1/2010 0:00,Espresso,Decaf Espresso,Decaf
213,California,West,Major Market,220,336,589,253,116,83,1686,6,9/1/2010 0:00,Espresso,Decaf Espresso,Decaf
213,California,West,Major Market,292,304,567,228,107,75,1691,6,11/1/2011 0:00,Espresso,Decaf Espresso,Decaf
213,California,West,Major Market,84,117,198,81,33,22,984,8,11/1/2010 0:00,Herbal Tea,Chamomile,Decaf
213,California,West,Major Market,165,253,467,214,88,66,923,9,3/1/2010 0:00,Herbal Tea,Lemon,Decaf
213,California,West,Major Market,174,265,490,225,91,69,1272,9,11/1/2010 0:00,Herbal Tea,Lemon,Decaf
213,California,West,Major Market,52,68,119,52,28,17,554,10,8/1/2011 0:00,Herbal Tea,Mint,Decaf
213,California,West,Major Market,128,172,290,118,44,33,930,11,11/1/2010 0:00,Tea,Darjeeling,Regular
213,California,West,Major Market,230,266,527,266,92,74,1819,4,7/1/2011 0:00,Espresso,Caffe Latte,Regular
213,California,West,Major Market,230,266,527,266,92,74,1797,4,8/1/2011 0:00,Espresso,Caffe Latte,Regular
214,Texas,South,Major Market,197,295,546,251,98,77,1268,2,9/1/2010 0:00,Coffee,Columbian,Regular
214,Texas,South,Major Market,70,109,193,84,39,27,603,3,3/1/2010 0:00,Coffee,Decaf Irish Cream,Decaf
214,Texas,South,Major Market,26,51,90,39,25,12,541,3,10/1/2010 0:00,Coffee,Decaf Irish Cream,Decaf
214,Texas,South,Major Market,52,79,133,54,27,15,601,6,12/1/2010 0:00,Espresso,Decaf Espresso,Decaf
214,Texas,South,Major Market,119,112,201,77,32,21,449,6,2/1/2011 0:00,Espresso,Decaf Espresso,Decaf
214,Texas,South,Major Market,33,80,140,60,47,19,329,8,2/1/2010 0:00,Herbal Tea,Chamomile,Decaf
